# ground truth trajectory
# file: 'rgbd_dataset_freiburg2_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1311867170.0289 0.1554 -1.1425 1.3593 -0.5691 0.6454 -0.3662 0.3541
1311867170.0322 0.1550 -1.1425 1.3597 -0.5693 0.6455 -0.3662 0.3537
1311867170.0356 0.1546 -1.1426 1.3601 -0.5695 0.6456 -0.3663 0.3533
1311867170.0389 0.1543 -1.1426 1.3604 -0.5696 0.6455 -0.3663 0.3530
1311867170.0422 0.1538 -1.1426 1.3608 -0.5698 0.6456 -0.3663 0.3528
1311867170.0456 0.1534 -1.1427 1.3612 -0.5699 0.6456 -0.3662 0.3525
1311867170.0489 0.1532 -1.1427 1.3616 -0.5702 0.6454 -0.3662 0.3524
1311867170.0522 0.1527 -1.1427 1.3620 -0.5704 0.6455 -0.3660 0.3521
1311867170.0556 0.1524 -1.1427 1.3624 -0.5705 0.6456 -0.3660 0.3519
1311867170.0588 0.1522 -1.1427 1.3628 -0.5703 0.6455 -0.3664 0.3519
1311867170.0622 0.1519 -1.1427 1.3631 -0.5704 0.6454 -0.3665 0.3519
1311867170.0656 0.1517 -1.1428 1.3635 -0.5703 0.6453 -0.3668 0.3519
1311867170.0689 0.1515 -1.1428 1.3639 -0.5701 0.6452 -0.3671 0.3520
1311867170.0722 0.1508 -1.1430 1.3641 -0.5713 0.6448 -0.3667 0.3513
1311867170.0755 0.1504 -1.1431 1.3646 -0.5715 0.6446 -0.3667 0.3512
1311867170.0789 0.1500 -1.1432 1.3649 -0.5717 0.6444 -0.3668 0.3513
1311867170.0823 0.1496 -1.1432 1.3653 -0.5720 0.6442 -0.3668 0.3511
1311867170.0855 0.1492 -1.1432 1.3656 -0.5722 0.6440 -0.3669 0.3510
1311867170.0889 0.1488 -1.1433 1.3660 -0.5724 0.6439 -0.3669 0.3508
1311867170.0922 0.1483 -1.1434 1.3663 -0.5726 0.6439 -0.3670 0.3505
1311867170.0956 0.1479 -1.1435 1.3666 -0.5727 0.6439 -0.3671 0.3501
1311867170.0989 0.1473 -1.1435 1.3669 -0.5726 0.6446 -0.3669 0.3492
1311867170.1022 0.1468 -1.1436 1.3671 -0.5728 0.6448 -0.3667 0.3488
1311867170.1056 0.1466 -1.1438 1.3675 -0.5732 0.6445 -0.3668 0.3486
1311867170.1089 0.1456 -1.1437 1.3676 -0.5729 0.6460 -0.3659 0.3472
1311867170.1122 0.1451 -1.1439 1.3680 -0.5730 0.6463 -0.3656 0.3467
1311867170.1156 0.1453 -1.1441 1.3684 -0.5734 0.6452 -0.3663 0.3475
1311867170.1189 0.1450 -1.1443 1.3687 -0.5732 0.6454 -0.3664 0.3473
1311867170.1222 0.1446 -1.1444 1.3690 -0.5730 0.6457 -0.3665 0.3470
1311867170.1256 0.1443 -1.1446 1.3693 -0.5727 0.6459 -0.3668 0.3469
1311867170.1289 0.1439 -1.1448 1.3696 -0.5724 0.6462 -0.3668 0.3467
1311867170.1322 0.1435 -1.1449 1.3699 -0.5721 0.6464 -0.3669 0.3467
1311867170.1356 0.1431 -1.1451 1.3702 -0.5718 0.6466 -0.3670 0.3468
1311867170.1389 0.1427 -1.1452 1.3706 -0.5716 0.6468 -0.3669 0.3470
1311867170.1423 0.1424 -1.1453 1.3709 -0.5713 0.6468 -0.3669 0.3474
1311867170.1455 0.1420 -1.1454 1.3713 -0.5711 0.6470 -0.3666 0.3476
1311867170.1489 0.1415 -1.1455 1.3716 -0.5710 0.6471 -0.3664 0.3478
1311867170.1522 0.1411 -1.1456 1.3719 -0.5710 0.6472 -0.3661 0.3479
1311867170.1556 0.1407 -1.1458 1.3722 -0.5712 0.6473 -0.3657 0.3478
1311867170.1589 0.1403 -1.1460 1.3725 -0.5713 0.6475 -0.3654 0.3477
1311867170.1622 0.1399 -1.1461 1.3727 -0.5713 0.6477 -0.3651 0.3476
1311867170.1656 0.1395 -1.1463 1.3730 -0.5713 0.6479 -0.3649 0.3474
1311867170.1689 0.1391 -1.1464 1.3733 -0.5714 0.6482 -0.3646 0.3470
1311867170.1722 0.1387 -1.1466 1.3736 -0.5714 0.6485 -0.3644 0.3468
1311867170.1756 0.1383 -1.1467 1.3739 -0.5712 0.6490 -0.3641 0.3464
1311867170.1789 0.1379 -1.1469 1.3743 -0.5711 0.6493 -0.3639 0.3461
1311867170.1822 0.1375 -1.1470 1.3746 -0.5708 0.6498 -0.3637 0.3458
1311867170.1855 0.1372 -1.1471 1.3749 -0.5705 0.6502 -0.3636 0.3456
1311867170.1889 0.1369 -1.1472 1.3753 -0.5704 0.6504 -0.3636 0.3455
1311867170.1922 0.1365 -1.1472 1.3757 -0.5702 0.6508 -0.3633 0.3455
1311867170.1956 0.1362 -1.1474 1.3760 -0.5702 0.6510 -0.3631 0.3453
1311867170.1989 0.1358 -1.1475 1.3763 -0.5700 0.6512 -0.3630 0.3452
1311867170.2022 0.1354 -1.1476 1.3767 -0.5700 0.6512 -0.3631 0.3452
1311867170.2055 0.1351 -1.1478 1.3770 -0.5699 0.6511 -0.3634 0.3452
1311867170.2089 0.1348 -1.1479 1.3773 -0.5697 0.6512 -0.3636 0.3453
1311867170.2122 0.1346 -1.1482 1.3779 -0.5702 0.6505 -0.3640 0.3452
1311867170.2155 0.1342 -1.1484 1.3783 -0.5703 0.6503 -0.3640 0.3454
1311867170.2189 0.1339 -1.1486 1.3786 -0.5705 0.6502 -0.3639 0.3455
1311867170.2222 0.1333 -1.1487 1.3787 -0.5699 0.6509 -0.3633 0.3459
1311867170.2256 0.1333 -1.1484 1.3793 -0.5701 0.6502 -0.3635 0.3466
1311867170.2289 0.1328 -1.1491 1.3797 -0.5704 0.6504 -0.3632 0.3460
1311867170.2322 0.1323 -1.1491 1.3798 -0.5695 0.6513 -0.3626 0.3464
1311867170.2356 0.1321 -1.1493 1.3802 -0.5689 0.6516 -0.3627 0.3466
1311867170.2389 0.1317 -1.1494 1.3806 -0.5689 0.6522 -0.3620 0.3464
1311867170.2422 0.1313 -1.1495 1.3810 -0.5687 0.6526 -0.3616 0.3464
1311867170.2456 0.1309 -1.1497 1.3814 -0.5686 0.6529 -0.3612 0.3463
1311867170.2489 0.1307 -1.1498 1.3818 -0.5687 0.6531 -0.3608 0.3462
1311867170.2522 0.1304 -1.1499 1.3821 -0.5679 0.6535 -0.3609 0.3466
1311867170.2556 0.1300 -1.1500 1.3824 -0.5677 0.6539 -0.3605 0.3466
1311867170.2589 0.1299 -1.1502 1.3828 -0.5675 0.6539 -0.3607 0.3469
1311867170.2622 0.1296 -1.1503 1.3832 -0.5672 0.6541 -0.3605 0.3471
1311867170.2656 0.1296 -1.1505 1.3838 -0.5670 0.6537 -0.3611 0.3475
1311867170.2689 0.1293 -1.1506 1.3840 -0.5663 0.6541 -0.3610 0.3480
1311867170.2722 0.1290 -1.1506 1.3844 -0.5661 0.6544 -0.3607 0.3482
1311867170.2756 0.1287 -1.1508 1.3848 -0.5661 0.6546 -0.3605 0.3478
1311867170.2789 0.1282 -1.1508 1.3851 -0.5664 0.6549 -0.3598 0.3476
1311867170.2822 0.1280 -1.1510 1.3855 -0.5657 0.6542 -0.3609 0.3489
1311867170.2856 0.1276 -1.1510 1.3857 -0.5644 0.6542 -0.3619 0.3499
1311867170.2889 0.1274 -1.1511 1.3862 -0.5657 0.6543 -0.3604 0.3493
1311867170.2922 0.1270 -1.1512 1.3866 -0.5659 0.6543 -0.3599 0.3494
1311867170.2956 0.1266 -1.1512 1.3870 -0.5660 0.6543 -0.3595 0.3496
1311867170.2989 0.1263 -1.1512 1.3873 -0.5658 0.6545 -0.3594 0.3497
1311867170.3023 0.1260 -1.1513 1.3877 -0.5659 0.6546 -0.3590 0.3497
1311867170.3058 0.1257 -1.1513 1.3881 -0.5656 0.6549 -0.3589 0.3498
1311867170.3091 0.1257 -1.1515 1.3885 -0.5651 0.6550 -0.3593 0.3502
1311867170.3122 0.1255 -1.1515 1.3889 -0.5647 0.6552 -0.3591 0.3505
1311867170.3156 0.1253 -1.1516 1.3893 -0.5644 0.6553 -0.3591 0.3508
1311867170.3188 0.1252 -1.1518 1.3897 -0.5639 0.6555 -0.3593 0.3511
1311867170.3222 0.1250 -1.1519 1.3900 -0.5635 0.6556 -0.3593 0.3514
1311867170.3255 0.1246 -1.1519 1.3904 -0.5636 0.6557 -0.3586 0.3517
1311867170.3289 0.1245 -1.1520 1.3908 -0.5634 0.6558 -0.3586 0.3520
1311867170.3323 0.1244 -1.1521 1.3911 -0.5631 0.6557 -0.3588 0.3526
